id,function_name,variant_name,episode_id,input,output,output_schema,inference_params,processing_time_ms,tags
0192ced0-b357-7720-839c-b9218b9a249e,dashboard_fixture_extract_entities,dicl,0192ced0-a2b6-7083-8c26-c22a78a1b54d,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Natalia Karimova ( Russia ) 3:40.036 beat Yvonne McGregor""}]}]}","{""raw"":""{\""person\"":[\""Natalia Karimova\"",\""Yvonne McGregor\""],\""organization\"":[],\""location\"":[\""Russia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Natalia Karimova"",""Yvonne McGregor""],""organization"":[],""location"":[""Russia""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",4257,{}
0192ced0-acf0-7053-a102-a3dc88094e54,dashboard_fixture_extract_entities,dicl,0192ced0-a2b6-7083-8c26-c21399c26e14,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Results of Yugoslav league""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Yugoslav league\""],\""location\"":[],\""miscellaneous\"":[\""Results\""]}"",""parsed"":{""person"":[],""organization"":[""Yugoslav league""],""location"":[],""miscellaneous"":[""Results""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",2618,{}
0192ced0-abd4-71c0-9abd-d042951ac83f,dashboard_fixture_extract_entities,dicl,0192ced0-a2c6-7323-be23-ce5797732f2d,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""At least 17 miners have been killed in labour unrest -- sparked by ethnic differences -- at Driefontein Consolidated and Gold Fields ' Kloof Gold Mining Co this month .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Driefontein Consolidated\"",\""Gold Fields\"",\""Kloof Gold Mining Co\""],\""location\"":[],\""miscellaneous\"":[\""17\"",\""labour unrest\"",\""ethnic differences\""]}"",""parsed"":{""person"":[],""organization"":[""Driefontein Consolidated"",""Gold Fields"",""Kloof Gold Mining Co""],""location"":[],""miscellaneous"":[""17"",""labour unrest"",""ethnic differences""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",2317,{}
0192ced0-a89b-7412-8cf0-454cf309b21c,dashboard_fixture_extract_entities,dicl,0192ced0-a2c6-7323-be23-ce2a24429833,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4""}]}]}","{""raw"":""{\""person\"":[\""Sjeng Schalken\"",\""David Rikl\""],\""organization\"":[],\""location\"":[\""Netherlands\"",\""Czech Republic\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Sjeng Schalken"",""David Rikl""],""organization"":[],""location"":[""Netherlands"",""Czech Republic""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1492,{}
0192ced0-a82f-76f2-92b8-5800c421b58f,dashboard_fixture_extract_entities,turbo,0192ced0-a2c8-7f73-9b38-da82351b91b1,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""287 Ian Woosnam 70 76 71 70""}]}]}","{""raw"":""{\""person\"":[\""Ian Woosnam\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Ian Woosnam""],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1383,{}
0192ced0-a8b4-7883-bf2e-6eaec5c5431b,dashboard_fixture_extract_entities,turbo,0192ced0-a2c8-7f73-9b38-da93002b1a4c,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4""}]}]}","{""raw"":""{\""person\"":[\""Sjeng Schalken\"",\""David Rikl\""],\""organization\"":[],\""location\"":[\""Netherlands\""],\""miscellaneous\"":[\""Czech Republic\""]}"",""parsed"":{""person"":[""Sjeng Schalken"",""David Rikl""],""organization"":[],""location"":[""Netherlands""],""miscellaneous"":[""Czech Republic""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1515,{}
0192ced0-a8aa-7ff3-b253-f9abc6541246,dashboard_fixture_extract_entities,dicl,0192ced0-a2b5-7d90-a4b7-eac823d55636,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""9. Mauricio Gugelmin ( Brazil ) , Reynard Ford Cosworth , 54.762""}]}]}","{""raw"":""{\""person\"":[\""Mauricio Gugelmin\""],\""organization\"":[\""Reynard Ford Cosworth\""],\""location\"":[\""Brazil\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Mauricio Gugelmin""],""organization"":[""Reynard Ford Cosworth""],""location"":[""Brazil""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1524,{}
0192ced0-a8ae-79d3-81b2-e1cc494d77d7,dashboard_fixture_extract_entities,dicl,0192ced0-a2b5-7d90-a4b7-eab3047b7229,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Boatmen 's was the prize in Missouri , where barriers to outside acquirers were brought down last year by a federal banking statute .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Boatmen's\""],\""location\"":[\""Missouri\""],\""miscellaneous\"":[\""federal banking statute\""]}"",""parsed"":{""person"":[],""organization"":[""Boatmen's""],""location"":[""Missouri""],""miscellaneous"":[""federal banking statute""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1529,{}
0192ced0-a89a-7900-9e8b-22b0ec55d905,dashboard_fixture_extract_entities,turbo,0192ced0-a2c7-7c83-96e1-bdd0889187cc,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""A Polish consortium including the Bank Rozwoju Exportu SA ( BRE ) plans to rival France 's Hachette in bidding for Polish state-owned press distribution chain Ruch SA , Zycie Warszawy daily said on Saturday .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Bank Rozwoju Exportu SA ( BRE )\"",\""Ruch SA\"",\""Zycie Warszawy\""],\""location\"":[\""France\""],\""miscellaneous\"":[\""Polish\"",\""Polish\""]}"",""parsed"":{""person"":[],""organization"":[""Bank Rozwoju Exportu SA ( BRE )"",""Ruch SA"",""Zycie Warszawy""],""location"":[""France""],""miscellaneous"":[""Polish"",""Polish""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1491,{}
0192ced0-aa2e-7410-8d55-d5611abf1b92,dashboard_fixture_extract_entities,dicl,0192ced0-a2c7-7c83-96e1-bdb9a47cf559,"{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Brechin 3 0 3 0 2 2 3""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Brechin\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Brechin""],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{""chat_completion"":{}}",1895,{}
